sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,A1,A1_err,B1,B1_err,A2,A2_err,B2,B2_err,A3,A3_err,B3,B3_err,A4,A4_err,B4,B4_err,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub,eqr,eqr_asec,reqr_asec,intens_2,mag_2,tflux_e_2,tmag_e_2,mag_lerr_2,mag_uerr_2
0.0,1.270041,,,,,,,,501.0,,501.0,,,,,0.0,40.07946,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,18.61126909432081,18.611589418672633,18.611589418672633,1.2696663555407748,0.00037464445922523736,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2696663555407748,18.611589418672633,0.0,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,,,,1.27004,19.909456501732727,,,,
10.0,0.1666062,0.00212628,0.02061505,0.01457704,0.02,,3.179999,,501.0,,501.0,,-0.01543729,0.00335203,0.2171385,1.778279,42.28477,0.01394567,0.01376879,90.04776,92.86881,35.45282,35.41933,299.0,316.0,-0.02322025,0.02075572,0.001768398,0.01915069,0.01950944,0.01985242,-0.004771098,0.01942403,47,4,1.0,4.0,,2.0,0.005032096,0.002807027,-0.004030415,0.00289315,-0.002009907,0.002674073,0.007065046,0.002567569,0.001432871,0.002674508,0.0002780177,0.002543377,-0.001445209,0.002593784,-0.001156199,0.002593946,3.179999,20.816585549997086,20.81902977525886,20.81902977525886,0.16623155554077476,0.00037464445922523736,0.013799662014481129,20.805230113244377,20.83282943727334,5.5,1.531407156804393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16623155554077476,20.81902977525886,0.0,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,9.899494936611665,5.444722215136417,1.527544714522392,0.1666052,22.11477861932694,90.047461,15.282821320360288,0.013945766512967429,0.013768909007609749
20.0,0.07985901,0.00223258,0.02232202,0.01480926,0.02,,3.179999,,501.0,,501.0,,-0.004556023,0.001355623,0.2975453,2.114743,43.08319,0.03078576,0.02993692,180.4804,183.0336,34.697919999999996,34.68267,1103.0,1136.0,-0.07512688,0.04058687,-0.008304789,0.03326887,0.05350954,0.03572845,0.0332031,0.03354754,44,7,1.0,4.0,,2.271957,0.003456059,0.002790107,-0.003950628,0.00289956,0.003293179,0.002872734,-0.001171209,0.002681915,-0.0005354218,0.002796511,0.0002064588,0.002738775,-0.000107864,0.002763203,-0.0003317549,0.002769687,3.179999,21.615003642448578,21.620109167563154,21.620109167563154,0.07948436554077476,0.00037464445922523736,0.030076032529105845,21.590033135034048,21.65018520009226,11.0,1.8211602868378718,73.76003686685242,73.41400466429424,0.0,0.0,1.0,0.0,0.0,0.07948436554077476,21.620109167563154,73.41400466429424,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,19.79898987322333,10.889444430272833,1.8165670429948289,0.07985801,22.9132037907257,180.479297,14.527931523375514,0.030786161945238033,0.02993723330217874
30.0,0.04878603,0.0008039993,0.01755397,0.005685133,0.02,,3.179999,,501.0,,501.0,,-0.002208342,0.0006269554,0.2839032,2.340347,43.61826,0.01804291,0.01774646,268.2482,270.7526,34.26766,34.25757,2528.0,2579.0,0.01796783,0.01764774,-0.01308476,0.01794867,0.007922338,0.0175394,0.01271142,0.01720794,50,8,1.0,4.0,,9.533871,0.001494259,0.001059939,-0.00329793,0.0009352365,0.0003618445,0.0009711605,0.0003738446,0.001006732,-0.0001405923,0.0009682374,0.0004201662,0.001006385,-0.0004632923,0.00100342,3.445943e-05,0.0009705782,3.179999,22.150074751198712,22.158444666498927,22.158444666498927,0.048411385540774766,0.00037464445922523736,0.01788343260314562,22.14056123389578,22.176328099102072,16.5,2.0154451623197245,148.86029525529995,147.9375427151448,0.0,0.0,1.0,0.0,0.0,0.048411385540774766,22.158444666498927,147.9375427151448,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,29.698484809834998,16.33416664540925,2.010361902405854,0.04878503,23.448283559019274,268.245672,14.09766819103486,0.018042508510481104,0.017747576783766324
40.0,0.02981579,0.0006040456,0.02018121,0.005334787,0.02,,3.179999,,501.0,,501.0,,-0.001073679,0.0002091344,0.1947829,2.514867,44.152879999999996,0.02222166,0.02177683,342.9208,346.0523,34.00102,33.991150000000005,4525.0,4635.0,-0.009182722,0.02019926,-0.01160607,0.02017039,-0.01167622,0.02020266,-0.001078608,0.01999902,78,0,1.0,4.0,,14.31068,0.003346254,0.0007662387,-0.001028062,0.0007557162,-0.001394447,0.0007433742,0.0004526473,0.0007404668,-3.222225e-05,0.0007433232,1.793086e-05,0.0007404929,1.388774e-05,0.0007433194,-1.458289e-06,0.0007404933,3.179999,22.684697645189065,22.698426687013548,22.698426687013548,0.02944114554077476,0.00037464445922523736,0.022050667647931732,22.676376019365616,22.72047735466148,22.0,2.1657367706679937,213.1172750972335,211.38711408444257,0.0,0.0,1.0,0.0,0.0,0.02944114554077476,22.698426687013548,211.38711408444257,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,39.59797974644666,21.778888860545667,2.1602744524089044,0.029814789999999997,23.982920613134393,342.916275,13.831029756336573,0.02222282542343188,0.021777077419175807
50.0,0.0197438,0.0005511061,0.02193503,0.005286024,0.02,,3.179999,,501.0,,501.0,,-0.0005975168,0.0001406847,0.2354489,2.659148,44.60042,0.03073727,0.02989055,407.3791,410.4026,33.814,33.80597,7175.0,7339.0,-0.00610594,0.02621038,0.03641801,0.02738874,-0.01098561,0.02591697,0.03932448,0.02727848,92,5,1.0,4.0,,17.21941,0.003040306,0.0006826845,0.0004042645,0.0007051811,0.0002526013,0.0006871583,0.0003416694,0.0006975449,3.91253e-05,0.0006940642,-6.568712e-05,0.0006898473,-6.814543e-05,0.0006935474,-1.468359e-05,0.0006900915,3.179999,23.132236589782273,23.153036730724587,23.153036730724587,0.01936915554077476,0.00037464445922523736,0.030460879064747814,23.12257585165984,23.183497609789335,27.500000000000004,2.2899878254809036,267.825068841174,265.05681122070854,0.0,0.0,1.0,0.0,0.0,0.01936915554077476,23.153036730724587,265.05681122070854,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,49.49747468305833,27.223611075682083,2.284212127121976,0.019742799999999998,24.430478134951848,407.371925,13.644022261840608,0.030738594577784953,0.02989225135321755
60.0,0.01453384,0.0003949656,0.01975932,0.004272206,0.02,,3.179999,,501.0,,501.0,,-0.0002499128,0.0001976028,0.790687,2.783158,44.93305,0.0299133,0.02911225,463.5359,466.4514,33.67379,33.66698,10498.0,10720.0,0.02982646,0.04429355,-0.0208121,0.04081474,-0.02808194,0.04347949,0.01247378,0.03852403,117,0,1.0,4.0,,21.39141,0.002270795,0.0005204323,-0.0003845955,0.0005132693,0.0006702633,0.0004989656,0.001312808,0.0004970128,-2.275014e-05,0.0004989352,-3.559285e-06,0.0004970337,-7.809736e-06,0.0004989302,-2.012633e-05,0.0004970304,3.179999,23.464862510404764,23.493216998784426,23.493216998784426,0.014159195540774761,0.00037464445922523736,0.02987149889845142,23.463345499885975,23.523088497682878,33.0,2.39678172692843,317.04590740147455,313.00886503829577,0.0,0.0,1.0,0.0,0.0,0.014159195540774761,23.493216998784426,313.00886503829577,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,59.396969619669996,32.6683332908185,2.3907366780714474,0.01453284,24.7631237695189,463.52540200000004,13.503816151931726,0.029915932738214416,0.02911369642444063
70.0,0.01100262,0.0003795417,0.02219239,0.004260344,0.02,,3.179999,,501.0,,501.0,,-0.0004061194,7.021923e-05,0.1729029,2.892508,45.23526,0.03811431,0.03682162,513.4345,516.7156,33.56279,33.55587,14506.0,14804.0,0.01530252,0.01903601,-0.02705987,0.01937427,-0.02185611,0.01905278,0.01837776,0.01889338,126,0,1.0,4.0,,27.13431,0.003584258,0.0004207482,-0.0002081783,0.0004196256,5.61087e-05,0.0004206668,-7.279746e-05,0.0004195435,-2.76706e-08,0.0004206674,-1.342368e-06,0.0004195429,5.977933e-08,0.0004206683,1.338425e-06,0.000419542,3.179999,23.767073162744673,23.804687081836285,23.804687081836285,0.010627975540774761,0.00037464445922523736,0.03809707025438058,23.766590011581904,23.842784152090665,38.5,2.4909509876742715,361.0826731081685,355.5461578672376,0.0,0.0,1.0,0.0,0.0,0.010627975540774761,23.804687081836285,355.5461578672376,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,69.29646455628166,38.11305550595492,2.484668429587458,0.01100162,25.065358399545715,513.419994,13.392818056755939,0.03811785427901779,0.036824883812418926
80.0,0.007492469,0.0003128796,0.01984546,0.003413113,0.02,,3.179999,,501.0,,501.0,,-0.0001352892,5.733587e-05,0.4238022,2.990698,45.65244,0.04631255,0.04441921,555.0981,557.2955,33.47808,33.47379,18939.0,19321.0,0.1234979,0.06604254,0.008667424,0.03931465,-0.02267211,0.04150879,0.04122094,0.04228558,119,7,1.0,4.0,,33.80812,0.002214591,0.0003635827,-0.0001310251,0.0003791034,0.0002250733,0.0003691875,-0.0001465585,0.0003718632,5.703629e-05,0.0003757035,3.041016e-05,0.0003651177,6.217744e-05,0.0003790263,3.932481e-06,0.0003614449,3.179999,24.184251060638154,24.23994525210908,24.23994525210908,0.007117824540774763,0.00037464445922523736,0.046706729336520425,24.19323852277256,24.2866519814456,44.0,2.5755095769013945,395.68395289261287,388.4172766388911,0.0,0.0,1.0,0.0,0.0,0.007117824540774763,24.23994525210908,388.4172766388911,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,79.19595949289332,43.557777721091334,2.5690137491632763,0.007491469,25.482582533174796,555.079161,13.30811269204051,0.046319683511249515,0.044424183082973245
90.0,0.005952707,0.0003329133,0.02404443,0.003662047,0.02,,3.179999,,501.0,,501.0,,-0.0001210943,5.057301e-05,0.4176331,3.08007,45.90221,0.06248581,0.05908364,588.7068,591.2988,33.41425,33.40948,23899.0,24402.0,0.04029639,0.04682297,-0.03164479,0.04495506,-0.0102454,0.04420528,-0.01649883,0.043132,121,5,1.0,4.0,,43.11031,0.002698346,0.0003926372,0.000206879,0.0004045118,-0.0003665412,0.0003811983,0.001143953,0.0003841956,0.0001109498,0.0003857057,6.70317e-05,0.0003793013,0.0001479632,0.0003884681,3.229704e-05,0.0003759335,3.179999,24.434027181128293,24.504604999393585,24.504604999393585,0.005578062540774763,0.00037464445922523736,0.0629395127037995,24.441665486689786,24.567544512097385,49.50000000000001,2.6524750026598074,426.8397865391803,417.6122611376289,0.0,0.0,1.0,0.0,0.0,0.005578062540774763,24.504604999393585,417.6122611376289,395.39259245581087,13.408260446752049,13.317414495458548,13.408260446752049,89.095454429505,49.00249993622775,2.645785056386079,0.005951707,25.732396142670623,588.682901,13.24429644652017,0.062496140322410985,0.05909375242081563
