sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,A1,A1_err,B1,B1_err,A2,A2_err,B2,B2_err,A3,A3_err,B3,B3_err,A4,A4_err,B4,B4_err,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub,eqr,eqr_asec,reqr_asec,intens_2,mag_2,tflux_e_2,tmag_e_2,mag_lerr_2,mag_uerr_2
0.0,93.9177,,,,,,,,501.0,,501.0,,,,,0.0,42.24813,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,17.359944826552322,17.360222749624022,17.360222749624022,93.89366234232187,0.024037657678127287,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.89366234232187,17.360222749624022,0.0,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,,,,93.9272,18.65802155982113,,,,
10.0,14.22616,0.09655344,0.9361203,0.661937,0.02,,3.179999,,501.0,,501.0,,-1.315454,0.1334264,0.1014299,1.778279,44.29728,0.007394258,0.007343887,7941.034,8181.825,37.43031,37.39787,299.0,316.0,-0.007621396,0.01085799,0.000513749,0.01029955,0.01350244,0.01037367,0.00910999,0.01032494,47,4,1.0,4.0,,2.0,0.5963411,0.05878144,-0.587916,0.06058493,0.06938864,0.05296429,-0.1820507,0.05085482,0.07444833,0.05191574,0.01344566,0.04937032,-0.0820431,0.04746863,-0.08631882,0.04747159,3.179999,19.409094225346628,19.41093032371686,19.41093032371686,14.202122342321873,0.024037657678127287,0.00735642321948049,19.403573900497378,19.41828674693634,5.5,1.531407156804393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.202122342321873,19.41093032371686,0.0,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,9.899494936611665,5.444722215136417,1.527544714522392,14.23566,20.70655598274086,7943.8745,13.839919063971774,0.007389098331282661,0.0073391507343415615
20.0,6.612082,0.04423843,0.4423093,0.2934445,0.02,,3.179999,,501.0,,501.0,,-0.378423,0.02843784,0.07514829,2.114743,45.129149999999996,0.0072892,0.007239397,15519.44,15736.64,36.70281,36.68772,1103.0,1136.0,-0.03052926,0.007426153,-0.005417476,0.006929033,0.00609094,0.006807645,0.008238161,0.006836267,44,7,1.0,4.0,,2.271957,0.1201024,0.04473767,-0.1201938,0.04649268,-0.002525954,0.04658407,0.0310069,0.04348977,0.02769881,0.0451423,0.009504107,0.0442103,-0.02261011,0.04420367,-0.03106298,0.04430739,3.179999,20.24096787033813,20.244922163409345,20.244922163409345,6.588044342321873,0.024037657678127287,0.007266301953279708,20.237655861456066,20.252188465362625,11.0,1.8211602868378718,6107.105661423192,6084.903801964485,0.0,0.0,1.0,0.0,0.0,6.588044342321873,20.244922163409345,6084.903801964485,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,19.79898987322333,10.889444430272833,1.8165670429948289,6.621582,21.537595595966515,15529.9185,13.112077058536485,0.007278084067551643,0.007229621111526179
30.0,3.795347,0.01724692,0.3765574,0.1219541,0.02,,3.179999,,501.0,,501.0,,-0.1851331,0.01185359,0.06402738,2.340347,45.73187,0.004944189,0.004923568,22621.85,22814.02,36.29368,36.2845,2528.0,2579.0,0.003328939,0.004371193,-0.001932652,0.004539696,0.001030172,0.004527121,0.001438135,0.004379454,50,8,1.0,4.0,,9.533871,0.04733544,0.01764766,-0.1122475,0.0155714,-0.01031594,0.01583632,0.0221857,0.01641637,-0.007858761,0.01569959,0.01110168,0.01631814,-0.01088603,0.01622487,-0.001778704,0.01569384,3.179999,20.84368472594654,20.850583055098515,20.850583055098515,3.7713093423218726,0.024037657678127287,0.004953960541353553,20.84562909455716,20.855537015639868,16.5,2.0154451623197245,11949.588445404981,11890.38348684843,0.0,0.0,1.0,0.0,0.0,3.7713093423218726,20.850583055098515,11890.38348684843,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,29.698484809834998,16.33416664540925,2.010361902405854,3.804847,22.13915700583516,22645.865999999998,12.70252766704739,0.00493270153249157,0.0049103926670403
40.0,2.347932,0.009638725,0.3220306,0.08512691,0.02,,3.179999,,501.0,,501.0,,-0.08109164,0.005803579,0.07156816,2.514867,46.25329,0.004466695,0.004447736,28565.32,28820.5,36.0404,36.03075,4525.0,4635.0,0.001318524,0.004254247,0.002548054,0.004240929,-0.006942068,0.004184717,0.003683947,0.00414771,78,0,1.0,4.0,,14.31068,0.02792826,0.01215147,-0.04310532,0.0119846,-0.001966447,0.01192238,0.01724158,0.01187575,-0.0002375842,0.01192154,0.0005697664,0.01187615,1.700394e-05,0.01192151,1.62822e-05,0.01187618,3.179999,21.36509966029592,21.376272500901067,21.376272500901067,2.3238943423218728,0.024037657678127287,0.004493952012747826,21.37177854888832,21.380766452913814,22.0,2.1657367706679937,17009.693148122256,16898.683850828722,0.0,0.0,1.0,0.0,0.0,2.3238943423218728,21.376272500901067,16898.683850828722,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,39.59797974644666,21.778888860545667,2.1602744524089044,2.357432,22.65890206402769,28608.3075,12.448769586975239,0.004448300231020527,0.004430149723186219
50.0,1.586272,0.006812023,0.2696534,0.06498256,0.02,,3.179999,,501.0,,501.0,,-0.04699733,0.003945336,0.08394809,2.659148,46.67906,0.004672459,0.004652618,33712.78,33972.07,35.86051,35.852199999999996,7175.0,7339.0,-0.001783256,0.004152757,-0.0008554551,0.004132129,0.0002239626,0.004107098,0.003998394,0.004144187,91,6,1.0,4.0,,17.21941,0.02625443,0.008650072,-0.02884062,0.008933277,-0.00872676,0.008646391,0.01082702,0.008683082,0.003670461,0.008668271,-0.001911547,0.008629519,-0.003689552,0.008613569,0.001537994,0.008662889,3.179999,21.79086930153883,21.807447995987363,21.807447995987363,1.5622343423218725,0.024037657678127287,0.004723991463610133,21.802724004523753,21.812171987450974,27.500000000000004,2.2899878254809036,21405.069995425612,21227.45511975596,0.0,0.0,1.0,0.0,0.0,1.5622343423218725,21.807447995987363,21227.45511975596,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,49.49747468305833,27.223611075682083,2.284212127121976,1.595772,23.082572898715327,33780.9425,12.268320594073641,0.004644705633993706,0.004624920508592393
60.0,1.115126,0.006096866,0.3050137,0.06594769,0.02,,3.179999,,501.0,,501.0,,-0.03171986,0.002991398,0.09430676,2.783158,47.06169,0.005952061,0.005920371,38140.16,38385.73,35.72654,35.71958,10498.0,10720.0,0.0001383863,0.004518,-0.007905301,0.004562091,0.0008595452,0.004492395,-0.005107636,0.004500411,117,0,1.0,4.0,,21.39141,0.01990117,0.008237256,-0.01664375,0.008123881,0.01550329,0.008039648,0.006980516,0.008008183,-0.0001840727,0.008039158,0.0003210045,0.008008519,-0.0001565938,0.008039131,5.053735e-06,0.008008519,3.179999,22.17350359288277,22.197163658466796,22.197163658466796,1.0910883423218727,0.024037657678127287,0.00605007109683342,22.191113587369962,22.20321372956363,33.0,2.39678172692843,25181.596833507887,24922.575139822977,0.0,0.0,1.0,0.0,0.0,1.0910883423218727,22.197163658466796,24922.575139822977,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,59.396969619669996,32.6683332908185,2.3907366780714474,1.1246260000000001,23.462479700861657,38239.891,12.13370838579672,0.005902047836216554,0.0058701377657951
70.0,0.8304295,0.004880123,0.2853484,0.05477924,0.02,,3.179999,,501.0,,501.0,,-0.021909,0.002332892,0.106481,2.892508,47.38174,0.00640021,0.006360886,42033.34,42271.25,35.62102,35.61489,14506.0,14804.0,0.01082014,0.004583767,0.0001912212,0.004424795,5.389128e-05,0.004428898,-0.002893837,0.004427771,126,0,1.0,4.0,,27.13431,0.02399655,0.006436284,-0.001830547,0.006419112,0.009995013,0.00635221,0.005672328,0.006335248,1.58258e-07,0.00635222,1.220335e-06,0.006335239,-5.829183e-07,0.006352233,-2.248053e-05,0.006335225,3.179999,22.49355652606439,22.52544813326334,22.52544813326334,0.8063918423218728,0.024037657678127287,0.006550857197439086,22.5188972760659,22.531998990460778,38.5,2.4909509876742715,28505.298763359777,28150.06901202047,0.0,0.0,1.0,0.0,0.0,0.8063918423218728,22.52544813326334,28150.06901202047,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,69.29646455628166,38.11305550595492,2.484668429587458,0.8399295,23.779392912958087,42171.147,12.027461466457602,0.006326696163393388,0.006290043332991417
80.0,0.6188208,0.00410888,0.2617126,0.04501053,0.02,,3.179999,,501.0,,501.0,,-0.01370925,0.001684228,0.1228534,2.990698,47.70109,0.007233336,0.007185227,45241.85,45467.84,35.54115,35.535740000000004,18939.0,19321.0,0.01088916,0.005474257,0.004195121,0.005203488,-0.0002295049,0.005332311,0.003927241,0.005147497,120,6,1.0,4.0,,33.80812,0.01826488,0.005376497,-0.0002294745,0.005567425,0.01508866,0.00518224,0.01152509,0.005209275,0.002181842,0.005254756,0.001139169,0.00512569,0.002596006,0.005286251,0.0003052742,0.005080639,3.179999,22.812901190181634,22.85591681995612,22.85591681995612,0.5947831423218727,0.024037657678127287,0.007474692494369606,22.84844212746175,22.86339151245049,44.0,2.5755095769013945,31363.100595737556,30896.861547104716,0.0,0.0,1.0,0.0,0.0,0.5947831423218727,22.85591681995612,30896.861547104716,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,79.19595949289332,43.557777721091334,2.5690137491632763,0.6283207999999999,24.094546407785984,45421.7705,11.946839853439425,0.007123447888665421,0.007077015861131318
90.0,0.4747442,0.003564261,0.2574262,0.03920687,0.02,,3.179999,,501.0,,501.0,,-0.009921375,0.001399276,0.1410365,3.08007,47.98885,0.008181726,0.008121487,47945.65,48187.71,35.47813,35.47266,23899.0,24402.0,-0.002495552,0.005750251,-0.0008077954,0.005645319,-0.006604335,0.005824853,0.001610935,0.005569004,121,5,1.0,4.0,,43.11031,0.01462988,0.004728017,-0.008277054,0.004871008,0.01703535,0.004510585,0.003236563,0.004546052,0.000333632,0.004565919,0.0002029984,0.004490105,0.0008112052,0.004600933,0.0001832775,0.004452477,3.179999,23.100664278421366,23.157078791956152,23.157078791956152,0.45070654232187274,0.024037657678127287,0.008552406840273363,23.14852638511588,23.165631198796426,49.50000000000001,2.6524750026598074,33847.861112234124,33255.811526668615,0.0,0.0,1.0,0.0,0.0,0.45070654232187274,23.157078791956152,33255.811526668615,422.9556103455796,12.057111659494833,11.983731070115189,12.057111659494833,89.095454429505,49.00249993622775,2.645785056386079,0.4842442,24.37733893077138,48172.690500000004,11.882997742908497,0.008021075761604884,0.007962252889417855
