sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,A1,A1_err,B1,B1_err,A2,A2_err,B2,B2_err,A3,A3_err,B3,B3_err,A4,A4_err,B4,B4_err,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub,eqr,eqr_asec,reqr_asec,intens_2,mag_2,tflux_e_2,tmag_e_2,mag_lerr_2,mag_uerr_2
0.0,249.996,,,,,,,,501.0,,501.0,,,,,0.0,40.76817,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,16.089980797709377,16.090119447457887,16.090119447457887,249.96407726472617,0.03192273527383804,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,249.96407726472617,16.090119447457887,0.0,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,,,,249.99550000000002,17.388169521747482,,,,
10.0,33.76753,0.2183546,2.117026,1.496964,0.02,,3.179999,,501.0,,501.0,,-3.213045,0.2850551,0.08871805,1.778279,42.94175,0.007044387,0.006997349,19229.38,19803.08,36.05309,36.02117,299.0,316.0,-0.01245659,0.009967593,-0.001369876,0.009421227,0.009443494,0.009487085,0.009740062,0.009490031,47,4,1.0,4.0,,2.0,1.383142,0.1151746,-1.349513,0.1187083,-0.2607208,0.1114073,0.1148933,0.1069702,0.2756569,0.1035855,0.04494941,0.0985067,-0.2692373,0.08450563,-0.2601289,0.08451089,3.179999,18.263565211532832,18.26459211704952,18.26459211704952,33.73560726472616,0.03192273527383804,0.007004810935583805,18.257587306113937,18.271596927985104,5.5,1.531407156804393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.73560726472616,18.26459211704952,0.0,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,9.899494936611665,5.444722215136417,1.527544714522392,33.76703,19.56176784081113,19229.2305,12.673095236659442,0.007043715126581546,0.006998313400527709
20.0,15.60433,0.06982841,0.6981657,0.4631893,0.02,,3.179999,,501.0,,501.0,,-0.9035544,0.04487049,0.04965997,2.114743,43.779889999999995,0.004868928,0.004848288,37137.16,37647.69,35.33848,35.32365,1103.0,1136.0,-0.00932931,0.005482849,0.000857314,0.005350617,0.002554852,0.005054757,0.0118974,0.005099365,44,7,1.0,4.0,,2.271957,0.2883031,0.06006076,-0.3746106,0.06241688,0.102924,0.0604295,0.03671333,0.05641553,0.06027669,0.05809568,0.005115185,0.05689625,-0.0537376,0.05584306,-0.06580389,0.0559741,3.179999,19.101700632005585,19.10392406425638,19.10392406425638,15.572407264726161,0.03192273527383804,0.004857679101039736,19.09906638515534,19.10878174335742,11.0,1.8211602868378718,14412.599856704099,14383.115116902176,0.0,0.0,1.0,0.0,0.0,15.572407264726161,19.10392406425638,14383.115116902176,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,19.79898987322333,10.889444430272833,1.8165670429948289,15.603829999999999,20.39992197467274,37136.6085,11.958494401799566,0.004869662149227305,0.004847918594047951
30.0,8.787472,0.03812127,0.8323137,0.2695581,0.02,,3.179999,,501.0,,501.0,,-0.3954898,0.01666386,0.04213475,2.340347,44.40334,0.004719652,0.004700544,53714.66,54158.34,34.93777,34.92884,2528.0,2579.0,0.001841522,0.004473486,-0.005768054,0.004655386,0.007286127,0.004532908,-0.0007490041,0.004374595,50,8,1.0,4.0,,9.533871,0.1039444,0.02784377,-0.2841938,0.02456794,0.03346047,0.02505944,0.01252307,0.0259773,-0.01584112,0.02478174,0.01880288,0.02575812,-0.03609212,0.02519494,0.004244884,0.02437032,3.179999,19.72515356193633,19.729104957442765,19.729104957442765,8.755549264726161,0.03192273527383804,0.004716985550903274,19.72438797189186,19.733821942993668,16.5,2.0154451623197245,27939.86202132884,27861.236048523715,0.0,0.0,1.0,0.0,0.0,8.755549264726161,19.729104957442765,27861.236048523715,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,29.698484809834998,16.33416664540925,2.010361902405854,8.786971999999999,21.023401893728515,53713.396,11.557793471815122,0.004720589258754921,0.004700153788158784
40.0,5.462042,0.01835519,0.6132483,0.1621086,0.02,,3.179999,,501.0,,501.0,,-0.2050904,0.00787205,0.03838332,2.514867,44.91961,0.003654746,0.003642585,67451.87,68047.47,34.69051,34.68097,4525.0,4635.0,0.001800425,0.003206113,0.0002791813,0.003193181,-0.007900021,0.003055857,0.00382171,0.003032765,78,0,1.0,4.0,,14.31068,0.1014176,0.01446785,-0.1435595,0.01426917,-0.001852351,0.013423,0.04483572,0.0133705,-0.0008679431,0.01341981,0.002057764,0.01336871,2.511702e-05,0.01341973,0.0002760716,0.01336871,3.179999,20.241425859235225,20.247790026609763,20.247790026609763,5.430119264726162,0.03192273527383804,0.003663876738858818,20.244126149870905,20.251453903348622,22.0,2.1657367706679937,39711.28658159688,39563.86288258727,0.0,0.0,1.0,0.0,0.0,5.430119264726162,20.247790026609763,39563.86288258727,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,39.59797974644666,21.778888860545667,2.1602744524089044,5.461542000000001,21.539711805534907,67449.6075,11.31055143303357,0.0036550956005960613,0.0036428321132909594
50.0,3.668549,0.01025914,0.4061075,0.09786601,0.02,,3.179999,,501.0,,501.0,,-0.1112896,0.004503053,0.04046246,2.659148,45.35176,0.003040582,0.003031989,79390.77,79989.38,34.51357,34.50542,7175.0,7339.0,-0.002807502,0.002644311,-0.0003657306,0.002598658,0.001628988,0.002607056,0.002705225,0.002593556,91,6,1.0,4.0,,17.21941,0.04786,0.01119336,-0.07106031,0.01161706,-0.02215672,0.01102888,-0.01167752,0.0111136,0.007219182,0.01112151,-0.003564015,0.01093942,-0.00842029,0.01102533,-0.000619365,0.01096197,3.179999,20.673577636908327,20.683066769969972,20.683066769969972,3.636626264726162,0.03192273527383804,0.003058614470486276,20.680008155499486,20.68612538444046,27.500000000000004,2.2899878254809036,49876.41295197843,49640.53503356306,0.0,0.0,1.0,0.0,0.0,3.636626264726162,20.683066769969972,49640.53503356306,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,49.49747468305833,27.223611075682083,2.284212127121976,3.668049,21.971912178492314,79387.18250000001,11.133624027901853,0.0030409424018361976,0.0030324490781779554
60.0,2.5677,0.006524003,0.3249847,0.07026566,0.02,,3.179999,,501.0,,501.0,,-0.06432255,0.003016408,0.04689503,2.783158,45.73914,0.002762448,0.002754904,89632.24,90193.48,34.38184,34.37506,10498.0,10720.0,0.002810247,0.002399032,-0.001656411,0.002389864,0.0009554784,0.002295316,0.006920911,0.002328349,116,1,1.0,4.0,,21.39141,0.01953841,0.008426896,-0.02490493,0.008307128,0.0167701,0.008269876,4.253842e-05,0.008166735,0.0006823741,0.008228791,0.001206081,0.008205405,-0.0002281161,0.008197083,0.00104125,0.008235439,3.179999,21.060952744730216,21.07453568815813,21.07453568815813,2.535777264726162,0.03192273527383804,0.002789775742510159,21.07174591241562,21.07732546390064,33.0,2.39678172692843,58572.2804702175,58228.29183919508,0.0,0.0,1.0,0.0,0.0,2.535777264726162,21.07453568815813,58228.29183919508,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,59.396969619669996,32.6683332908185,2.3907366780714474,2.5671999999999997,22.35935073978138,89626.99100000001,11.001902959183182,0.002762683841426965,0.0027556719591137866
70.0,1.904819,0.00584439,0.3403718,0.06534227,0.02,,3.179999,,501.0,,501.0,,-0.04852922,0.002301923,0.04743375,2.892508,46.06336,0.003336766,0.003325755,98521.61,99083.16,34.27917,34.272999999999996,14506.0,14804.0,0.004261061,0.002434274,-0.0008200046,0.002417143,0.0001200017,0.002427124,0.001471166,0.002409186,125,1,1.0,4.0,,27.13431,0.03112832,0.007602253,-0.01316417,0.007633149,0.03441171,0.006909902,0.008349369,0.006914682,-0.000388003,0.006925102,-0.000344535,0.0068993,0.000440483,0.00693917,0.0002272068,0.006885014,3.179999,21.38517916153113,21.4035291387163,21.4035291387163,1.872896264726162,0.03192273527383804,0.003382774552584067,21.400146364163717,21.406911913268885,38.5,2.4909509876742715,66196.10716028397,65724.35132345321,0.0,0.0,1.0,0.0,0.0,1.872896264726162,21.4035291387163,65724.35132345321,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,69.29646455628166,38.11305550595492,2.484668429587458,1.904319,22.68365074868218,98514.357,10.899251182347001,0.0033372680531296617,0.0033270415927012485
80.0,1.431137,0.00523005,0.3331248,0.05729233,0.02,,3.179999,,501.0,,501.0,,-0.03704056,0.001757469,0.04744715,2.990698,46.3738,0.00397592,0.003959728,105910.9,106456.3,34.200649999999996,34.19507,18939.0,19321.0,0.004963138,0.002509753,0.002625857,0.002440491,-0.002605808,0.002507412,0.0004074226,0.002407031,120,6,1.0,4.0,,33.80812,0.02532795,0.006545158,-0.01798919,0.006777588,0.03088461,0.0058146,0.01752049,0.005844934,0.001598824,0.005899112,0.000799895,0.00575422,0.002582891,0.005935804,0.0002865162,0.005704928,3.179999,21.69561042265232,21.72010288736192,21.72010288736192,1.399214264726162,0.03192273527383804,0.004050750876775311,21.716052136485146,21.724153638238697,44.0,2.5755095769013945,72805.29990394035,72186.12036809999,0.0,0.0,1.0,0.0,0.0,1.399214264726162,21.72010288736192,72186.12036809999,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,79.19595949289332,43.557777721091334,2.5690137491632763,1.4306370000000002,22.994176367898973,105901.43049999999,10.82074543367698,0.003976452102590525,0.00396194168209502
90.0,1.085802,0.005444265,0.389945,0.05938992,0.02,,3.179999,,501.0,,501.0,,-0.02294336,0.001587512,0.06919266,3.08007,46.67362,0.00545755,0.005430459,112121.6,112660.7,34.13878,34.13357,23899.0,24402.0,0.00495239,0.003669904,-0.001839256,0.003541161,0.002843445,0.003655805,-0.001402479,0.00351707,119,7,1.0,4.0,,43.11031,0.02639608,0.006814292,-0.005354024,0.007077103,0.03225648,0.006252565,-0.003711101,0.006243284,0.003244471,0.006337441,0.001020667,0.006137985,0.002919849,0.006346676,-0.0003435661,0.006112358,3.179999,21.995436854291416,22.027836298047006,22.027836298047006,1.053879264726162,0.03192273527383804,0.005594397955825059,22.02224190009118,22.03343069600283,49.50000000000001,2.6524750026598074,78488.27178297122,77702.01205491998,0.0,0.0,1.0,0.0,0.0,1.053879264726162,22.027836298047006,77702.01205491998,436.42069426778517,10.892556449347785,10.841326942566752,10.892556449347785,89.095454429505,49.00249993622775,2.645785056386079,1.085302,23.29412349167286,112109.6505,10.758892503336316,0.005460149642615833,0.005432827982123164
