sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,A1,A1_err,B1,B1_err,A2,A2_err,B2,B2_err,A3,A3_err,B3,B3_err,A4,A4_err,B4,B4_err,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub,eqr,eqr_asec,reqr_asec,intens_2,mag_2,tflux_e_2,tmag_e_2,mag_lerr_2,mag_uerr_2
0.0,214.7991,,,,,,,,501.0,,501.0,,,,,0.0,41.34592,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,16.457732304085994,16.457841812367946,16.457841812367946,214.77743627164364,0.02166372835636139,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,214.77743627164364,16.457841812367946,0.0,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,,,,214.8086,17.755870838416094,,,,
10.0,28.20375,0.1973926,1.913793,1.353256,0.02,,3.179999,,501.0,,501.0,,-2.657425,0.2522267,0.09491393,1.778279,43.55023,0.007625122,0.007572904,15951.63,16429.24,36.66899,36.63696,299.0,316.0,-0.0153285,0.01082397,-0.006860401,0.01022063,0.004154352,0.01026075,0.01323431,0.01033047,47,4,1.0,4.0,,2.0,1.230203,0.09543402,-1.254967,0.09836206,0.05190632,0.09609993,-0.1389208,0.09227244,0.2073769,0.09113823,0.0288957,0.08666974,-0.2017897,0.07829115,-0.200653,0.07829603,3.179999,18.662046306457224,18.662880597368527,18.662880597368527,28.182086271643637,0.02166372835636139,0.007578190663643625,18.655302406704884,18.67045878803217,5.5,1.531407156804393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.182086271643637,18.662880597368527,0.0,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,9.899494936611665,5.444722215136417,1.527544714522392,28.21325,19.95986720700016,15954.4705,13.078794011697813,0.007622997506952253,0.007569849075708988
20.0,13.01533,0.06423325,0.6422236,0.4260752,0.02,,3.179999,,501.0,,501.0,,-0.7045021,0.0406625,0.05771808,2.114743,44.38986,0.005371783,0.005344879,30921.79,31349.2,35.95034,35.93543,1103.0,1136.0,-0.009089185,0.006536071,0.001554316,0.006381107,0.007457596,0.006061588,0.01197205,0.00609974,44,7,1.0,4.0,,2.271957,0.3134613,0.05679822,-0.3008084,0.05902635,0.116291,0.05577702,-0.06579012,0.05207208,0.03396266,0.05399935,0.01744298,0.05288449,-0.02916677,0.05236301,-0.05887713,0.05248588,3.179999,19.501675487475612,19.503484177007522,19.503484177007522,12.993666271643638,0.02166372835636139,0.005354035680763758,19.498130141326758,19.508838212688286,11.0,1.8211602868378718,12021.326342941771,12001.31711164478,0.0,0.0,1.0,0.0,0.0,12.993666271643638,19.503484177007522,12001.31711164478,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,19.79898987322333,10.889444430272833,1.8165670429948289,13.02483,20.799069841000794,30932.268500000002,12.359970571726185,0.0053676630204929805,0.0053412568594853405
30.0,7.430615,0.03226876,0.7045338,0.2281746,0.02,,3.179999,,501.0,,501.0,,-0.3340847,0.01575241,0.04715095,2.340347,44.99844,0.004725986,0.004704007,44869.13,45248.02,35.54613,35.537,2528.0,2579.0,0.0009554932,0.004545089,-0.002799182,0.004725772,-0.0006513941,0.004701407,0.002800569,0.004549352,50,8,1.0,4.0,,9.533871,0.1198486,0.02573117,-0.2357263,0.02270389,-0.0001277491,0.02363523,-0.004602491,0.02450093,-0.0100394,0.02313908,0.03155676,0.02405073,-0.02934246,0.02364997,0.002390374,0.02287592,3.179999,20.110251547641422,20.113421601332398,20.113421601332398,7.408951271643639,0.02166372835636139,0.00471852013580687,20.10870308119659,20.118140121468205,16.5,2.0154451623197245,23459.86943581229,23406.511485686984,0.0,0.0,1.0,0.0,0.0,7.408951271643639,20.113421601332398,23406.511485686984,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,29.698484809834998,16.33416664540925,2.010361902405854,7.4401150000000005,21.40705087905216,44893.146,11.955549898137333,0.0047192224720260245,0.004698798807798563
40.0,4.599604,0.01556872,0.520152,0.1374992,0.02,,3.179999,,501.0,,501.0,,-0.1639822,0.007381968,0.04501688,2.514867,45.5192,0.003681431,0.003668595,56435.27,56934.85,35.29712,35.287549999999996,4525.0,4635.0,0.0006952434,0.003406077,-0.0005893224,0.003393069,-0.007603054,0.003230929,0.006151263,0.003212491,78,0,1.0,4.0,,14.31068,0.08635739,0.01449322,-0.1008189,0.01429419,-0.005803068,0.01385123,0.03413644,0.01379705,-0.0007669712,0.01384941,0.001299021,0.01379667,5.959315e-05,0.01384936,0.0001441422,0.0137967,3.179999,20.63101234001614,20.63613814212556,20.63613814212556,4.577940271643639,0.02166372835636139,0.003686121727714209,20.632452020397846,20.639824263853274,22.0,2.1657367706679937,33372.62578098633,33272.579624501384,0.0,0.0,1.0,0.0,0.0,4.577940271643639,20.63613814212556,33272.579624501384,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,39.59797974644666,21.778888860545667,2.1602744524089044,4.609104,21.9269587308188,56478.2575,11.706296777137823,0.003673628527174736,0.0036612405727689317
50.0,3.104479,0.009254557,0.3683483,0.08876659,0.02,,3.179999,,501.0,,501.0,,-0.09393053,0.004058016,0.04320231,2.659148,45.94602999999999,0.003240672,0.00323251,66521.62,67029.36,35.11859,35.11034,7175.0,7339.0,-0.00075854,0.0028095,0.002874321,0.002795,-0.001075734,0.002787875,0.002934894,0.002776495,92,5,1.0,4.0,,17.21941,0.04203089,0.01031309,-0.06211732,0.01065294,-0.01273336,0.01028011,-0.00770788,0.01043549,0.005176808,0.01036246,-0.003704124,0.0102995,-0.005560144,0.01033781,0.001115285,0.0102863,3.179999,21.05784163136713,21.0654446931553,21.0654446931553,3.0828152716436388,0.02166372835636139,0.003254478408610595,21.06219021474669,21.06869917156391,27.500000000000004,2.2899878254809036,41974.779207094514,41814.705356718594,0.0,0.0,1.0,0.0,0.0,3.0828152716436388,21.0654446931553,41814.705356718594,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,49.49747468305833,27.223611075682083,2.284212127121976,3.113979,22.35271080136489,66589.7825,11.527481009067033,0.0032315466089431646,0.0032219568840534956
60.0,2.184387,0.006508334,0.3255986,0.0703984,0.02,,3.179999,,501.0,,501.0,,-0.06167227,0.00279933,0.04539042,2.783158,46.32768,0.003239644,0.003230247,75195.91,75673.09,34.98551,34.97865,10498.0,10720.0,0.0002848973,0.002502515,-0.002536736,0.002495602,-0.001537143,0.002486317,-0.002706256,0.002478919,117,0,1.0,4.0,,21.39141,0.02589985,0.008496393,-0.02859469,0.008379452,0.02319541,0.008035136,-0.01572724,0.008003689,-0.0002276641,0.008034415,0.0007116555,0.008003795,-0.0002091819,0.008034242,0.0004950976,0.008003649,3.179999,21.439489489363755,21.450311063906618,21.450311063906618,2.162723271643639,0.02166372835636139,0.0032624251052304487,21.447048638801387,21.45357348901185,33.0,2.39678172692843,49372.50478273173,49139.063750933514,0.0,0.0,1.0,0.0,0.0,2.162723271643639,21.450311063906618,49139.063750933514,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,59.396969619669996,32.6683332908185,2.3907366780714474,2.193887,22.732964363211707,75295.641,11.3940754128994,0.003225706721702981,0.0032161515744078607
70.0,1.621076,0.005079139,0.2934283,0.05633038,0.02,,3.179999,,501.0,,501.0,,-0.04088041,0.001969871,0.04818619,2.892508,46.651489999999995,0.003406416,0.003397258,82735.38,83213.9,34.881769999999996,34.87551,14506.0,14804.0,0.005619565,0.002386207,-0.001393528,0.002389412,-0.0003906574,0.002366789,0.002563172,0.002371353,123,3,1.0,4.0,,27.13431,0.02249235,0.006317511,-0.01483487,0.006317743,0.01623566,0.005968342,0.01781795,0.005888291,-5.327148e-05,0.005906381,0.0003770842,0.005950415,0.000151154,0.005925088,0.0007756746,0.005928644,3.179999,21.76330500719308,21.777912387821267,21.777912387821267,1.5994122716436385,0.02166372835636139,0.0034424316508001596,21.774469956170467,21.781354819472067,38.5,2.4909509876742715,55860.681599230404,55540.53389847855,0.0,0.0,1.0,0.0,0.0,1.5994122716436385,21.777912387821267,55540.53389847855,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,69.29646455628166,38.11305550595492,2.484668429587458,1.630576,23.05514738556516,82873.187,11.28996489864012,0.0033872765196477,0.0033767417624175015
80.0,1.210414,0.004544582,0.2882557,0.04957553,0.02,,3.179999,,501.0,,501.0,,-0.02936532,0.001682958,0.0573111,2.990698,46.96867,0.004084229,0.004068815,88999.34,89454.75,34.80253,34.79699,18939.0,19321.0,-0.0004698762,0.002795041,-0.001730495,0.002719389,-0.001162612,0.002789255,0.002417097,0.002702695,119,7,1.0,4.0,,33.80812,0.01806498,0.005979879,-0.01315997,0.006200336,0.02980625,0.005314387,0.0136207,0.005298933,0.002303129,0.005374062,0.0007423023,0.005225369,0.002622517,0.005378731,-0.0002787922,0.005206447,3.179999,22.080478601920372,22.10008687450382,22.10008687450382,1.1887502716436387,0.02166372835636139,0.004142846117556331,22.095944028386263,22.104229720621376,44.0,2.5755095769013945,61450.54436262769,61030.35050539088,0.0,0.0,1.0,0.0,0.0,1.1887502716436387,22.10008687450382,61030.35050539088,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,79.19595949289332,43.557777721091334,2.5690137491632763,1.2199140000000002,23.370176961513774,89179.26049999999,11.210340333164641,0.0040522781900517255,0.004037210149136604
90.0,0.9239878,0.004477914,0.3193797,0.04864259,0.02,,3.179999,,501.0,,501.0,,-0.02286466,0.001360308,0.05949394,3.08007,47.26183,0.005274488,0.005249192,94272.25,94742.27,34.74004,34.73464,23899.0,24402.0,0.002586587,0.003020977,-0.002387861,0.002909574,-0.0001214084,0.002985578,0.003831721,0.002898924,118,8,1.0,4.0,,43.11031,0.01584194,0.005701744,-0.007111586,0.00593457,0.02290639,0.005398278,-0.005808078,0.005349057,0.001496587,0.005468616,0.000266576,0.00526751,0.00150068,0.005450621,-0.000660548,0.005276047,3.179999,22.37364785499362,22.399407089066596,22.399407089066596,0.9023240716436386,0.02166372835636139,0.00537479769389293,22.394032291372703,22.40478188676049,49.50000000000001,2.6524750026598074,66286.59797458236,65753.01847332927,0.0,0.0,1.0,0.0,0.0,0.9023240716436386,22.399407089066596,65753.01847332927,436.42069426778517,11.27040302325143,11.229066849879828,11.27040302325143,89.095454429505,49.00249993622775,2.645785056386079,0.9334878,23.66072838396937,94499.2905,11.147428630395932,0.005220777191829534,0.0051957931026724085
