sma,intens,int_err,pix_var,rms,ell,ell_err,pa,pa_err,x0,x0_err,y0,y0_err,grad,grad_err,grad_r_err,rsma,mag,mag_lerr,mag_uerr,tflux_e,tflux_c,tmag_e,tmag_c,npix_e,npix_c,a3,a3_err,b3,b3_err,a4,a4_err,b4,b4_err,ndata,nflag,niter,stop,a_big,sarea,A1,A1_err,B1,B1_err,A2,A2_err,B2,B2_err,A3,A3_err,B3,B3_err,A4,A4_err,B4,B4_err,pa_norm,sbp_ori,sbp_sub,sbp,intens_sub,intens_bkg,sbp_err,sbp_low,sbp_upp,sma_asec,rsma_asec,growth_ori,growth_sub,avg_x0,avg_y0,avg_q,avg_pa,avg_bkg,intens_cor,sbp_cor,growth_cor,rad_outer,mag_tot,mag_tot_ori,mag_tot_sub,eqr,eqr_asec,reqr_asec,intens_2,mag_2,tflux_e_2,tmag_e_2,mag_lerr_2,mag_uerr_2
0.0,178.6073,,,,,,,,501.0,,501.0,,,,,0.0,40.032250000000005,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,15.90406543420121,15.904274345959829,15.904274345959829,178.5729366109848,0.034363389015197754,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,178.5729366109848,15.904274345959829,0.0,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,,,,178.6173,17.20219119941551,,,,
10.0,25.85446,0.1746326,1.693126,1.197221,0.02,,3.179999,,501.0,,501.0,,-2.481833,0.2237803,0.09016738,1.778279,42.130660000000006,0.007359261,0.007308093,14672.65,15112.47,35.24573,35.213660000000004,299.0,316.0,-0.009801827,0.01034519,-0.00499854,0.00981236,0.00406082,0.009914396,0.01064735,0.009954653,47,4,1.0,4.0,,2.0,1.053642,0.07901006,-1.212619,0.08143419,0.03996208,0.08027085,0.08914997,0.07707381,0.2141188,0.0736905,0.02878604,0.07007747,-0.2038303,0.05867418,-0.192935,0.05867784,3.179999,18.00247476880797,18.00391879014143,18.00391879014143,25.820096610984802,0.034363389015197754,0.007318586958835027,17.996600203182595,18.011237377100265,5.5,1.531407156804393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.820096610984802,18.00391879014143,0.0,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,9.899494936611665,5.444722215136417,1.527544714522392,25.86446,19.300241460976835,14675.64,12.415507375557308,0.007355572973824037,0.007306076070603255
20.0,11.9364,0.05385205,0.5384291,0.3572141,0.02,,3.179999,,501.0,,501.0,,-0.7057476,0.03507876,0.0497044,2.114743,42.96982,0.004910126,0.004886719,28353.79,28749.77,34.53047,34.51541,1103.0,1136.0,-0.006595598,0.005496024,-0.001277937,0.005373345,0.002498636,0.005218611,0.009100834,0.005248904,44,7,1.0,4.0,,2.271957,0.2288643,0.05085609,-0.2849577,0.05285112,0.04384585,0.04873299,-0.1241841,0.04549595,0.04352989,0.0468921,0.01833344,0.04592398,-0.023765,0.04520268,-0.06074073,0.04530875,3.179999,18.841630037497843,18.84476024289037,18.84476024289037,11.902036610984803,0.034363389015197754,0.004901450483906444,18.839858792406464,18.849661693374276,11.0,1.8211602868378718,11024.796125790906,10993.057129269024,0.0,0.0,1.0,0.0,0.0,11.902036610984803,18.84476024289037,10993.057129269024,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,19.79898987322333,10.889444430272833,1.8165670429948289,11.9464,20.138907369777566,28364.82,11.700049920187805,0.004905352364159975,0.00488328964133141
30.0,6.731362,0.0277253,0.6053352,0.1960475,0.02,,3.179999,,501.0,,501.0,,-0.3175888,0.0151117,0.0475826,2.340347,43.59174,0.004481021,0.004462918,41045.56,41386.61,34.12883,34.11985,2528.0,2579.0,0.001974862,0.003987396,-0.00721089,0.004157527,0.001396029,0.004133782,-0.0009971183,0.003998251,50,8,1.0,4.0,,9.533871,0.09592079,0.02445258,-0.1854519,0.02157573,-0.0150123,0.02183559,0.03401106,0.02263537,-0.0178081,0.02152697,0.01651554,0.02237511,-0.01814167,0.02218605,-0.004393547,0.02145991,3.179999,19.463556080656303,19.469112925321788,19.469112925321788,6.696998610984802,0.034363389015197754,0.0044856246678506295,19.464627300653937,19.47359854998964,16.5,2.0154451623197245,21386.922855639117,21302.28553158077,0.0,0.0,1.0,0.0,0.0,6.696998610984802,19.469112925321788,21302.28553158077,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,29.698484809834998,16.33416664540925,2.010361902405854,6.741362,20.76013087834747,41070.84,11.29816603665488,0.004474531031099253,0.004456166273354555
40.0,4.155249,0.01271647,0.4248581,0.1123088,0.02,,3.179999,,501.0,,501.0,,-0.1549317,0.006746542,0.04354527,2.514867,44.11551,0.003328634,0.003316736,51548.77,52002.22,33.88145,33.87195,4525.0,4635.0,0.003601263,0.002906717,0.002466818,0.002893426,-0.004794141,0.002856275,-0.0004848919,0.002837884,78,0,1.0,4.0,,14.31068,0.05831734,0.01141145,-0.1008459,0.01125475,0.01447061,0.01064499,0.03088125,0.01060335,-0.0004728364,0.01064263,0.001621004,0.01060211,-0.0001401403,0.01064256,0.0002141063,0.0106021,3.179999,19.987320813340663,19.996337048994974,19.996337048994974,4.120885610984803,0.034363389015197754,0.0033452694615299094,19.992991779533444,19.999682318456504,22.0,2.1657367706679937,30342.035271953242,30183.340289343832,0.0,0.0,1.0,0.0,0.0,4.120885610984803,19.996337048994974,30183.340289343832,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,39.59797974644666,21.778888860545667,2.1602744524089044,4.165249,21.28289757802376,51594.02,11.050501580791622,0.0033198137226504955,0.0033096937917190456
50.0,2.796347,0.009553087,0.3802303,0.09162999,0.02,,3.179999,,501.0,,501.0,,-0.08830404,0.004400723,0.04983603,2.659148,44.545519999999996,0.003715727,0.003702728,60608.99,61066.93,33.70566,33.69749,7175.0,7339.0,-0.0006479733,0.003103488,1.818667e-05,0.003084466,-0.000481132,0.003096014,-0.001629733,0.003081565,92,5,1.0,4.0,,17.21941,0.0286296,0.01023575,-0.08009979,0.01057305,-0.01573742,0.009942576,0.02189479,0.01009286,0.007578594,0.009996756,-0.00513974,0.009936019,-0.007963996,0.009950645,0.002421512,0.009901064,3.179999,20.417335791916397,20.430760704370105,20.430760704370105,2.761983610984802,0.034363389015197754,0.0037488405747474474,20.427011863795357,20.434509544944852,27.500000000000004,2.2899878254809036,38090.39044737473,37836.47847519968,0.0,0.0,1.0,0.0,0.0,2.761983610984802,20.430760704370105,37836.47847519968,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,49.49747468305833,27.223611075682083,2.284212127121976,2.8063469999999997,21.711646575546478,60680.74,10.87437282910858,0.0037022600838666634,0.0036896786087654643
60.0,1.960791,0.006548738,0.3276199,0.07083543,0.02,,3.179999,,501.0,,501.0,,-0.05245946,0.003115597,0.05939056,2.783158,44.93092,0.003632852,0.003619581,68411.97,68838.13,33.57417,33.56743,10498.0,10720.0,0.003837142,0.002950849,0.002571963,0.002934801,-0.004849368,0.00292092,-0.0002202633,0.002895647,117,0,1.0,4.0,,21.39141,0.01216219,0.008358133,-0.03855504,0.008243096,0.01323947,0.008221388,0.001919723,0.008189212,-8.983683e-05,0.008220708,0.0006821534,0.008189378,-0.0001211915,0.008220651,0.0002580125,0.008189349,3.179999,20.802735185361914,20.82193171184136,20.82193171184136,1.9264276109848022,0.034363389015197754,0.0036846149507923087,20.818247096890566,20.82561632679215,33.0,2.39678172692843,44730.87756306407,44360.589270308774,0.0,0.0,1.0,0.0,0.0,1.9264276109848022,20.82193171184136,44360.589270308774,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,59.396969619669996,32.6683332908185,2.3907366780714474,1.970791,22.095398574206826,68516.95,10.742504944230246,0.0036137984270208927,0.0036018100385234175
70.0,1.448589,0.006460404,0.3777499,0.07251786,0.02,,3.179999,,501.0,,501.0,,-0.0368777,0.002408097,0.06529956,2.892508,45.259640000000005,0.004852805,0.004831607,75185.84,75607.8,33.47166,33.46558,14506.0,14804.0,0.007554616,0.003501919,0.005854814,0.003478802,-0.0009566889,0.003422788,0.00606969,0.00343599,126,0,1.0,4.0,,27.13431,0.03647484,0.00791412,-0.02370788,0.007893005,0.03452514,0.006743928,0.03021154,0.006725919,-2.830122e-06,0.006743928,-0.0001225928,0.0067259,-8.930255e-07,0.006743942,-3.879175e-05,0.006725885,3.179999,21.13145048992055,21.157516702832716,21.157516702832716,1.4142256109848022,0.034363389015197754,0.004948518746267894,21.152568184086448,21.162465221578984,38.5,2.4909509876742715,50528.6943011041,50020.870356753985,0.0,0.0,1.0,0.0,0.0,1.4142256109848022,21.157516702832716,50020.870356753985,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,69.29646455628166,38.11305550595492,2.484668429587458,1.458589,22.42216766501927,75330.9,10.639567109737309,0.004819640385564711,0.004798340264752645
80.0,1.079506,0.004595551,0.2914886,0.05013154,0.02,,3.179999,,501.0,,501.0,,-0.02458274,0.001763224,0.0717261,2.990698,45.57894,0.004632702,0.004611437,80772.1,81177.63,33.39385,33.38841,18939.0,19321.0,0.004165169,0.003350401,0.002052846,0.003283194,0.001858288,0.003370227,0.001562242,0.003237103,119,7,1.0,4.0,,33.80812,0.01705676,0.00576273,-0.02446197,0.005949785,0.0217027,0.00483071,0.02913058,0.004827545,0.001983583,0.004865758,0.00113326,0.004782408,0.00194203,0.004918092,0.0001751586,0.004724692,3.179999,21.45075079615074,21.48587456121478,21.48587456121478,1.0451426109848023,0.034363389015197754,0.004763578118367917,21.48111098309641,21.490638139333146,44.0,2.5755095769013945,55514.00543619007,54847.48650923054,0.0,0.0,1.0,0.0,0.0,1.0451426109848023,21.48587456121478,54847.48650923054,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,79.19595949289332,43.557777721091334,2.5690137491632763,1.089506,22.738925934288424,80961.49,10.561303769392378,0.004589335711498544,0.004570018514398187
90.0,0.8165556,0.004613971,0.3318609,0.05054352,0.02,,3.179999,,501.0,,501.0,,-0.01936491,0.001501715,0.07754826,3.08007,45.88204,0.006152512,0.006117652,85473.25,85878.09,33.33242,33.327290000000005,23899.0,24402.0,0.00542052,0.003804012,0.001173404,0.003708056,-0.0006572458,0.003807235,0.0004713657,0.003681304,120,6,1.0,4.0,,43.11031,0.016373,0.006267894,0.00206484,0.006409815,0.02733573,0.005752987,0.006177751,0.005831778,0.001977271,0.005842457,0.001178454,0.005728446,0.002460351,0.005879522,0.000545216,0.005685276,3.179999,21.753849043524692,21.800529730062117,21.800529730062117,0.7821922109848023,0.034363389015197754,0.006385691439124486,21.794144038622992,21.80691542150124,49.50000000000001,2.6524750026598074,59787.77036981994,58941.397129236415,0.0,0.0,1.0,0.0,0.0,0.7821922109848023,21.800529730062117,58941.397129236415,436.42069426778517,10.6561452305565,10.583924148827075,10.6561452305565,89.095454429505,49.00249993622775,2.645785056386079,0.8265556000000001,23.038819818446598,85712.24,10.499392887289853,0.006077739599008526,0.006043906898655468
